Date,Price,Open,High,Low,Vol.,Change %
2017-09-10,"4,245.9","4,335.1","4,338.1","4,032.1",108.08K,-2.06%
2017-09-11,"4,217.9","4,245.9","4,364.4","4,134.6",88.76K,-0.66%
2017-09-12,"4,158.9","4,217.9","4,387.8","4,075.0",107.04K,-1.40%
2017-09-13,"3,870.3","4,158.9","4,174.6","3,752.0",186.54K,-6.94%
2017-09-14,"3,243.1","3,870.3","3,930.7","3,219.0",317.59K,-16.21%
2017-09-15,"3,713.8","3,243.1","3,824.4","2,979.9",448.55K,14.51%
2017-09-16,"3,698.9","3,713.8","3,893.7","3,551.8",169.36K,-0.40%
2017-09-17,"3,689.6","3,698.9","3,796.6","3,485.8",96.07K,-0.25%
2017-09-18,"4,100.3","3,689.6","4,122.8","3,689.0",147.93K,11.13%
2017-09-19,"3,908.0","4,100.3","4,120.7","3,852.2",123.22K,-4.69%
2017-09-20,"3,882.2","3,908.0","4,053.0","3,846.8",86.65K,-0.66%
2017-09-21,"3,617.3","3,882.2","3,912.8","3,576.5",145.13K,-6.82%
2017-09-22,"3,600.8","3,617.3","3,753.5","3,505.8",114.72K,-0.45%
2017-09-23,"3,788.0","3,600.8","3,813.4","3,563.2",67.82K,5.20%
2017-09-24,"3,667.5","3,788.0","3,790.9","3,633.9",49.66K,-3.18%
2017-09-25,"3,932.8","3,667.5","3,971.5","3,665.7",100.20K,7.23%
2017-09-26,"3,892.7","3,932.8","3,982.3","3,858.8",63.25K,-1.02%
2017-09-27,"4,212.2","3,892.7","4,232.4","3,882.1",117.60K,8.21%
2017-09-28,"4,195.6","4,212.2","4,274.6","4,112.9",92.23K,-0.39%
2017-09-29,"4,172.8","4,195.6","4,237.5","4,030.4",97.80K,-0.54%
2017-09-30,"4,360.6","4,172.8","4,383.3","4,164.3",67.49K,4.50%
2017-10-01,"4,403.1","4,360.6","4,412.6","4,258.3",60.58K,0.97%
2017-10-02,"4,401.3","4,403.1","4,477.4","4,364.7",71.20K,-0.04%
2017-10-03,"4,314.2","4,401.3","4,436.0","4,230.7",81.87K,-1.98%
2017-10-04,"4,218.7","4,314.2","4,355.3","4,183.6",64.08K,-2.21%
2017-10-05,"4,321.4","4,218.7","4,365.8","4,143.4",63.61K,2.44%
2017-10-06,"4,371.9","4,321.4","4,422.1","4,296.9",61.69K,1.17%
2017-10-07,"4,435.8","4,371.9","4,472.9","4,319.5",40.20K,1.46%
2017-10-08,"4,611.7","4,435.8","4,622.9","4,419.4",71.37K,3.97%
2017-10-09,"4,777.5","4,611.7","4,875.4","4,556.1",110.19K,3.59%
2017-10-10,"4,763.4","4,777.5","4,930.0","4,722.8",98.49K,-0.30%
2017-10-11,"4,824.2","4,763.4","4,874.9","4,718.6",70.48K,1.28%
2017-10-12,"5,432.6","4,824.2","5,432.6","4,815.0",163.92K,12.61%
2017-10-13,"5,637.3","5,432.6","5,852.8","5,392.0",215.02K,3.77%
2017-10-14,"5,824.7","5,637.3","5,839.6","5,568.9",76.22K,3.33%
